#,Ticker,MCap
262,CASY,$8.11 B
263,ESLT,$8.09 B
264,LEGN,$8.04 B
265,CHDN,$8.03 B
266,DISH,$7.97 B
267,MASI,$7.97 B
268,ZG,$7.92 B
269,Z,$7.92 B
270,DBX,$7.91 B
271,RGLD,$7.91 B
272,PRAH,"$7.91 B                                                (Feb. 18, 2021)"
273,XP,$7.79 B
274,CELH,$7.72 B
275,NFE,$7.69 B
276,PLUG,$7.55 B
277,ACHC,$7.49 B
278,MIDD,$7.45 B
279,MWK,$7.42 B
280,SWAV,$7.41 B
281,ZION,$7.38 B
282,HALO,$7.33 B
283,GRFS,$7.30 B
284,MANH,$7.19 B
285,XRAY,$7.11 B
286,ASND,$7.09 B
287,TTEK,$7.03 B
288,CAR,$7.00 B
289,CNXC,$6.98 B
290,SBNY,$6.97 B
291,JCOM,$6.89 B
292,MAT,$6.83 B
293,FLIR,"$6.83 B                                                (Feb. 18, 2021)"
294,YNDX,$6.80 B
295,CROX,$6.79 B
296,NXST,$6.78 B
297,KRTX,$6.73 B
298,BOKF,$6.67 B
299,IRDM,$6.63 B
300,MEDP,$6.61 B
301,COHR,"$6.61 B                                                (June 1, 2022)"
302,GNTX,$6.55 B
303,FUTU,$6.45 B
304,CDK,"$6.39 B                                                (July 1, 2022)"
305,INOV,"$6.37 B                                                (Nov. 1, 2021)"
306,AMKR,$6.36 B
307,TXRH,$6.27 B
308,REYN,$6.22 B
309,ARNA,"$6.17 B                                                (March 1, 2022)"
310,ROLL,$6.15 B
311,STMP,"$6.12 B                                                (Sept. 1, 2021)"
312,DOOO,$6.08 B
313,AGNC,$6.08 B
314,COUP,$6.03 B
315,MLCO,$5.98 B
316,MKSI,$5.96 B
317,WWD,$5.96 B
318,ROKU,$5.96 B
319,KNSL,$5.93 B
320,IQ,$5.92 B
321,PPC,$5.89 B
322,QDEL,$5.86 B
323,LSTR,$5.84 B
324,NWL,$5.84 B
325,XM,$5.83 B
326,SSB,$5.81 B
327,SLGN,$5.80 B
328,NTNX,$5.77 B
329,CHX,$5.74 B
330,DSGX,$5.71 B
331,IONS,$5.70 B
332,SGMS,$5.61 B
333,COLM,$5.60 B
334,VLY,$5.59 B
335,LFUS,$5.58 B
336,SAIA,$5.57 B
337,AKER,$5.56 B
338,ALGM,$5.53 B
339,LANC,$5.51 B
340,PDCE,$5.49 B
341,PNFP,$5.47 B
342,FSV,$5.45 B
343,EXLS,$5.45 B
344,IIVI,"$5.44 B                                                (Nov. 1, 2022)"
345,VG,"$5.39 B                                                (July 1, 2022)"
346,SIGI,$5.38 B
347,EXEL,$5.35 B
348,MDGL,$5.33 B
349,UBSI,$5.32 B
350,GBCI,$5.28 B
351,ENSG,$5.24 B
352,APLS,$5.24 B
353,ONB,$5.21 B
354,OPCH,$5.18 B
355,HQY,$5.17 B
356,DKNG,$5.15 B
357,ANAT,"$5.11 B                                                (May 1, 2022)"
358,OLED,$5.07 B
359,WTFC,$5.06 B
360,GTLS,$4.99 B
361,CCMP,"$4.99 B                                                (June 1, 2022)"
362,ITCI,$4.97 B
363,LHCG,$4.94 B
364,ZLAB,$4.92 B
365,CYBR,$4.91 B
366,EXPO,$4.91 B
367,UFPI,$4.89 B
368,CACC,$4.89 B
369,MCFE,"$4.89 B                                                (Feb. 1, 2022)"
370,IPGP,$4.87 B
371,IART,$4.86 B
372,ACIA,"$4.85 B                                                (Feb. 18, 2021)"
373,WEN,$4.83 B
374,BPOP,$4.83 B
375,VNOM,$4.81 B
376,GDS,$4.81 B
377,EEFT,$4.80 B
378,NOVT,$4.79 B
379,NATI,$4.76 B
380,FFIN,$4.75 B
381,RUN,$4.74 B
382,WB,$4.72 B
383,PENN,$4.72 B
384,RCM,$4.70 B
385,FIVN,$4.69 B
386,CERE,$4.66 B
387,SRCL,$4.65 B
388,GBT,"$4.62 B                                                (Oct. 1, 2022)"
389,OZK,$4.59 B
390,CBPO,"$4.57 B                                                (Feb. 18, 2021)"
391,SAFM,"$4.55 B                                                (July 1, 2022)"
392,COKE,$4.53 B
393,SLAB,$4.53 B
394,HOMB,$4.49 B
395,DRVN,$4.48 B
396,MTSI,$4.48 B
397,WIX,$4.41 B
398,SPSC,$4.40 B
399,IAC,$4.38 B
400,TXG,$4.30 B
401,ARWR,$4.25 B
402,NTRA,$4.23 B
403,ESGR,$4.22 B
404,NVMI,"$4.18 B                                                (Jan. 1, 2022)"
405,TSEM,"$4.17 B                                                (Jan. 1, 2022)"
406,HWC,$4.16 B
407,ALKS,$4.16 B
408,SMCI,$4.15 B
409,PINC,$4.14 B
410,FEYE,"$4.13 B                                                (Sept. 1, 2022)"
411,JOBS,"$4.11 B                                                (May 1, 2022)"
412,LYFT,$4.11 B
413,CRUS,$4.10 B
414,POWI,$4.09 B
415,FCFS,$4.08 B
416,FIZZ,$4.06 B
417,ASO,$4.04 B
418,SLM,$4.04 B
419,CYTK,$4.02 B
420,MMSI,$4.01 B
421,FIBK,$4.00 B
422,TFSL,$3.99 B
423,BL,$3.97 B
424,ICUI,$3.96 B
425,WING,$3.96 B
426,UMBF,$3.96 B
427,TENB,$3.95 B
428,CWST,$3.94 B
429,MANT,"$3.93 B                                                (Sept. 1, 2022)"
430,CIGI,$3.92 B
431,DNLI,$3.90 B
432,AIMC,$3.90 B
433,VC,$3.90 B
434,NGHC,"$3.88 B                                                (Feb. 18, 2021)"
435,QLYS,$3.87 B
436,APHA,"$3.86 B                                                (Feb. 18, 2021)"
437,FOXF,$3.85 B
438,RMBS,$3.82 B
439,TPTX,"$3.81 B                                                (Aug. 1, 2022)"
440,AVT,$3.81 B
441,PTEN,$3.80 B
442,CSOD,"$3.79 B                                                (Oct. 1, 2021)"
443,SYNA,$3.78 B
444,BCPC,$3.77 B
445,AAON,$3.77 B
446,PAAS,$3.77 B
447,APPF,$3.75 B
448,CCXI,"$3.74 B                                                (Oct. 1, 2022)"
449,CRSP,$3.72 B
450,SFBS,$3.71 B
451,UMPQ,$3.68 B
452,QFIN,$3.68 B
453,ALTR,$3.67 B
454,INDB,$3.65 B
455,SYNH,$3.65 B
456,FELE,$3.63 B
457,LITE,$3.63 B
458,PCVX,$3.63 B
459,ISBC,"$3.63 B                                                (April 1, 2022)"
460,SGRY,$3.62 B
461,BMCH,"$3.61 B                                                (Feb. 18, 2021)"
